sentence_id	chunks_ids	type	score	chunk1	chunk2
19	12 <==> 0	NOALI	0	.	-not aligned- 
19	0 <==> 14	NOALI	0	-not aligned-	. 
19	6 7 <==> 7 8 9 10	EQUI	5	in grass	in a grassy area 
19	8 9 <==> 0	NOALI	NIL	at side	-not aligned- 
19	5 <==> 6	EQUI	5	standing	standing 
19	10 11 <==> 0	NOALI	NIL	of road	-not aligned- 
19	0 <==> 11 12 13	NOALI	NIL	-not aligned-	with trees behind 
19	1 2 3 4 <==> 1 2 3 4 5	EQUI	5	Brown and white cow	A brown and white cow 
20	4 5 <==> 4 5	EQUI	5	a horse	a horse 
20	3 <==> 3	EQUI	5	riding	rides 
20	9 <==> 0	NOALI	NIL	.	-not aligned- 
20	0 <==> 6 7 8	NOALI	NIL	-not aligned-	at a gallop 
20	1 2 <==> 1 2	EQUI	5	A jockey	A jockey 
20	0 <==> 9	NOALI	0	-not aligned-	. 
20	6 7 8 <==> 0	NOALI	NIL	in a pen	-not aligned- 
21	9 10 11 12 <==> 0	NOALI	NIL	near a white structure	-not aligned- 
21	6 <==> 7	EQUI	5	rides	rides 
21	1 2 <==> 1 2	EQUI	5	A person	A person 
21	7 8 <==> 8 9	EQUI	5	a bike	a bike 
21	0 <==> 15	NOALI	0	-not aligned-	. 
21	4 5 <==> 4 5 6	EQUI	5	a helmet	a bike helmet 
21	3 <==> 3	EQUI	5	wearing	wearing 
21	0 <==> 10 11 12	NOALI	NIL	-not aligned-	on a path 
21	0 <==> 13 14	NOALI	NIL	-not aligned-	through trees 
21	13 <==> 0	NOALI	0	.	-not aligned- 
22	0 <==> 9	NOALI	0	-not aligned-	. 
22	8 <==> 0	NOALI	0	.	-not aligned- 
22	2 3 <==> 3 4	EQUI	5	of horses	of horses 
22	4 <==> 5	EQUI	5	grazing	grazing 
22	1 <==> 1 2	EQUI	5	Group	A group 
22	5 6 7 <==> 6 7 8	SPE1	4	in grassy field	in a field 
23	6 7 <==> 5 6 7	EQUI	5	a helmet	a bike helmet 
23	8 <==> 0	NOALI	0	sits	-not aligned- 
23	0 <==> 14	NOALI	0	-not aligned-	. 
23	1 2 3 4 <==> 1 2 3	SPE1	4	A young blonde girl	A young girl 
23	15 <==> 0	NOALI	0	.	-not aligned- 
23	13 14 <==> 11 12 13	EQUI	5	behind her	in the background 
23	9 10 11 12 <==> 8 9 10	SPE1	4	with a red bicycle	with a bicycle 
23	5 <==> 4	EQUI	5	wearing	wearing 
24	1 2 3 <==> 1 2	SIMI	3	A striped cat	Domestic cat 
24	0 <==> 9	NOALI	0	-not aligned-	. 
24	4 5 <==> 3	EQUI	5	laying down	laying 
24	0 <==> 4 5	NOALI	NIL	-not aligned-	on back 
24	6 7 8 <==> 0	NOALI	NIL	on a bag	-not aligned- 
24	12 <==> 0	NOALI	0	.	-not aligned- 
24	9 10 11 <==> 6 7 8	EQUI	5	of cat litter	of cat litter 
25	1 2 <==> 1 2	SIMI	3	Five birds	Several cardinals 
25	0 <==> 7	NOALI	0	-not aligned-	. 
25	4 5 6 <==> 4 5 6	EQUI	5	on the snow	in the snow 
25	7 <==> 0	NOALI	0	.	-not aligned- 
25	3 <==> 3	EQUI	5	stand	stand 
26	11 <==> 0	NOALI	0	.	-not aligned- 
26	3 <==> 3 4	SPE1	4	posing	is standing 
26	4 5 6 <==> 5 6 7	EQUI	5	by a pillar	by a pillar 
26	0 <==> 14	NOALI	0	-not aligned-	. 
26	1 2 <==> 1 2	EQUI	5	A woman	a woman 
26	7 8 9 10 <==> 8 9 10 11 12 13	EQUI	5	with a U2 sign	where `` u2 '' is written 
27	1 2 3 <==> 1 2 3	SPE2	4	A red moped	The red scooter 
27	4 <==> 4 5	SIMI	4	parked	is sitting 
27	5 6 7 <==> 6 7 8	SPE1	4	on a sidewalk	on the street 
27	8 9 10 11 <==> 9 10 11 12 13	REL	3	in front of graffiti	in front of the building 
27	12 <==> 0	NOALI	0	.	-not aligned- 
27	0 <==> 14	NOALI	0	-not aligned-	. 
28	9 <==> 0	NOALI	0	.	-not aligned- 
28	0 <==> 10	NOALI	0	-not aligned-	. 
28	7 8 <==> 7 8 9	EQUI	5	on couch	on a couch 
28	1 2 3 4 5 <==> 1 2 3 4 5	EQUI	5	Two dogs and one cat	Two dogs and a cat 
28	6 <==> 6	SIMI	4	sitting	resting 
29	0 <==> 14	NOALI	0	-not aligned-	. 
29	10 11 12 13 <==> 10 11 12 13	EQUI	5	with their thumbs up	the thumbs up sign 
29	1 2 3 4 5 6 <==> 1 2	SPE1	2	One Asian and one occasion woman	Two women 
29	7 8 <==> 0	NOALI	NIL	in glasses	-not aligned- 
29	14 <==> 0	NOALI	0	.	-not aligned- 
29	0 <==> 5 6 7	NOALI	NIL	-not aligned-	for the camera 
29	0 <==> 9	ALIC	NIL	-not aligned-	giving 
29	0 <==> 8	NOALI	NIL	-not aligned-	and 
29	9 <==> 3 4	REL	3	smiling	are posing 
30	5 6 7 8 9 10 <==> 4 5 6 7 8 9 10 11	SIMI	4	in front of an alpine lake	next to a mountain , and a body 
30	4 <==> 3	EQUI	5	grazing	grazing 
30	11 <==> 0	NOALI	0	.	-not aligned- 
30	1 2 3 <==> 1 2	SPE1	1	Two mountain goats	Two animals 
30	0 <==> 14	NOALI	0	-not aligned-	. 
30	0 <==> 12 13	ALIC	NIL	-not aligned-	of water 
31	5 6 7 <==> 5 6 7 8 9	SPE2	4	in a station	at the city train station 
31	4 <==> 4	EQUI	5	waiting	waiting 
31	1 2 3 <==> 1 2 3	EQUI	5	A passenger train	A passenger train 
31	0 <==> 10	NOALI	0	-not aligned-	. 
31	8 <==> 0	NOALI	0	.	-not aligned- 
32	1 2 <==> 1 2	EQUI	5	A bicycle	A bicycle 
32	3 4 <==> 3 4	EQUI	5	is parked	is parked 
32	5 6 7 <==> 5 6 7	SPE2	4	by a shop	outside a bookstore 
32	0 <==> 8	NOALI	0	-not aligned-	. 
32	8 <==> 0	NOALI	0	.	-not aligned- 
33	0 <==> 8	NOALI	0	-not aligned-	and 
33	7 8 9 <==> 0	NOALI	NIL	on a blanket	-not aligned- 
33	15 <==> 0	NOALI	0	.	-not aligned- 
33	10 11 12 13 14 <==> 10 11 12 13	SPE1	4	in a black leather chair	on a leather chair 
33	1 2 3 4 5 <==> 1 2 3 4 5	SPE2	4	A orange and white cat	A ginger and white cat 
33	6 <==> 9	SIMI	4	laying	asleep 
33	0 <==> 14	NOALI	0	-not aligned-	. 
33	0 <==> 6 7	ALIC	NIL	-not aligned-	curled up 
34	3 4 5 <==> 3 4 5 6	EQUI	5	on train tracks	on the train tracks 
34	1 2 <==> 1 2	SPE1	4	Black train	A train 
34	0 <==> 7	NOALI	0	-not aligned-	. 
34	6 <==> 0	NOALI	0	.	-not aligned- 
35	0 <==> 6	NOALI	0	-not aligned-	. 
35	4 5 6 7 <==> 4 5	SPE1	4	on a black couch	on couch 
35	8 <==> 0	NOALI	0	.	-not aligned- 
35	1 2 <==> 1 2	EQUI	5	Young couple	Young couple 
35	3 <==> 3	EQUI	5	sitting	sitting 
36	4 5 6 <==> 0	NOALI	NIL	for a picture	-not aligned- 
36	0 <==> 6	NOALI	0	-not aligned-	. 
36	7 8 9 <==> 4 5	EQUI	5	on a couch	on couch 
36	10 <==> 0	NOALI	0	.	-not aligned- 
36	1 2 <==> 1 2	SPE2	4	A couple	Young couple 
36	3 <==> 3	REL	3	posing	sitting 
37	5 <==> 0	NOALI	0	.	-not aligned- 
37	0 <==> 5 6 7	NOALI	NIL	-not aligned-	with hood up 
37	0 <==> 8	NOALI	0	-not aligned-	. 
37	1 2 3 4 <==> 1 2 3 4	EQUI	5	Red double decker bus	Red double decker bus 
38	0 <==> 9 10	ALIC	NIL	-not aligned-	with food 
38	0 <==> 13	NOALI	0	-not aligned-	. 
38	10 <==> 0	NOALI	0	.	-not aligned- 
38	1 2 <==> 1 2	EQUI	5	A group	A group 
38	5 <==> 5	EQUI	5	sitting	sitting 
38	6 7 8 9 <==> 6 7 8	SPE1	4	at a restaurant table	around a table 
38	0 <==> 11 12	NOALI	NIL	-not aligned-	on it 
38	3 4 <==> 3 4	EQUI	5	of people	of people 
39	3 <==> 3	SIMI	4	napping	sleeping 
39	8 <==> 0	NOALI	0	.	-not aligned- 
39	0 <==> 7	NOALI	0	-not aligned-	. 
39	4 5 6 7 <==> 4 5 6	SPE1	4	under a small table	under a table 
39	1 2 <==> 1 2	EQUI	5	a dog	A dog 
40	8 9 <==> 4 5 6	EQUI	5	on water	on the water 
40	10 <==> 0	NOALI	0	.	-not aligned- 
40	1 2 <==> 1 2	SPE2	4	A boat	Sail boat 
40	6 7 <==> 3	EQUI	5	is sailing	sailing 
40	0 <==> 7	NOALI	0	-not aligned-	. 
40	3 4 5 <==> 0	ALIC	NIL	with four sails	-not aligned- 
41	5 6 7 <==> 5 6	SPE1	4	a small baby	a baby 
41	4 <==> 4	EQUI	5	holding	holding 
41	0 <==> 7	NOALI	0	-not aligned-	. 
41	8 <==> 0	NOALI	0	.	-not aligned- 
41	1 2 3 <==> 1 2 3	SIMI	4	A smiling woman	Two smiling women 
42	1 2 3 4 <==> 1 2 3 4 5	EQUI	5	Red double decker bus	A red double decker bus 
42	9 <==> 0	NOALI	0	.	-not aligned- 
42	5 6 <==> 0	ALIC	NIL	on side	-not aligned- 
42	0 <==> 10	NOALI	0	-not aligned-	. 
42	7 8 <==> 6 7 8 9	SPE2	4	of street	on a city street 
43	7 <==> 0	NOALI	0	.	-not aligned- 
43	5 6 <==> 5 6 7	EQUI	5	the window	of a window 
43	0 <==> 8	NOALI	0	-not aligned-	. 
43	3 4 <==> 3 4	EQUI	5	looking out	looking out 
43	1 2 <==> 1 2	SPE1	4	Gray cat	A cat 
44	10 <==> 0	NOALI	0	.	-not aligned- 
44	7 8 9 <==> 8 9 10 11	SIMI	4	on the tracks	on the train track 
44	0 <==> 12	NOALI	0	-not aligned-	. 
44	6 <==> 6 7	EQUI	5	sitting	are sitting 
44	1 2 3 4 5 <==> 1 2 3 4 5	EQUI	5	Two green and white trains	Two green and white trains 
45	5 6 <==> 11 12	EQUI	5	the camera	the camera 
45	0 <==> 13	NOALI	0	-not aligned-	. 
45	1 2 <==> 1 2 3 4 5 6 7 8	SPE2	3	A cat	A gray , black , and white cat 
45	3 4 <==> 9 10	EQUI	5	looking at	looking at 
45	7 <==> 0	NOALI	0	.	-not aligned- 
46	9 <==> 0	NOALI	0	.	-not aligned- 
46	1 2 3 <==> 1 2 3	EQUI	5	A gray cat	A gray cat 
46	0 <==> 9	NOALI	0	-not aligned-	. 
46	5 6 7 8 <==> 5 6 7 8	SIMI	4	on a wooden table	on a dining table 
46	4 <==> 4	EQUI	5	lying	laying 
47	4 5 6 <==> 6 7	EQUI	5	in a chair	on chair 
47	7 8 9 <==> 8 9	EQUI	5	with a baby	with infant 
47	0 <==> 10	NOALI	0	-not aligned-	. 
47	1 2 <==> 1	SPE1	3	A father	Man 
47	3 <==> 5	SIMI	4	napping	sleeping 
47	13 <==> 0	NOALI	0	.	-not aligned- 
47	10 11 12 <==> 0	ALIC	NIL	on his lap	-not aligned- 
47	0 <==> 2 3 4	NOALI	NIL	-not aligned-	with pink shirt 
48	6 7 8 <==> 10 11 12 13	EQUI	5	on tree branch	on a tree branch 
48	5 <==> 9	EQUI	5	perched	perched 
48	9 <==> 0	NOALI	0	.	-not aligned- 
48	1 2 3 4 <==> 1	SPE2	4	Green and white bird	Bird 
48	0 <==> 14	NOALI	0	-not aligned-	. 
48	0 <==> 2 3 4 5 6 7 8	ALIC	NIL	-not aligned-	with a green head and white chest 
49	0 <==> 6 7 8	ALIC	NIL	-not aligned-	through the air 
49	11 <==> 0	NOALI	0	.	-not aligned- 
49	1 2 3 4 5 <==> 1 2 3 4	EQUI	5	A red and white plane	Red and white plane 
49	6 <==> 5	EQUI	5	flying	flying 
49	7 8 9 10 <==> 0	NOALI	NIL	on a sunny day	-not aligned- 
49	0 <==> 9	NOALI	0	-not aligned-	. 
50	0 <==> 3	NOALI	0	-not aligned-	sitting 
50	3 4 5 6 <==> 5 6 7	EQUI	5	with a viking hat	a viking hat 
50	0 <==> 8	NOALI	0	-not aligned-	. 
50	1 2 <==> 1 2	SPE2	4	a woman	Smiling woman 
50	8 <==> 0	NOALI	0	.	-not aligned- 
50	7 <==> 4	SIMI	4	on	wearing 
51	8 <==> 4	EQUI	5	standing	stands 
51	0 <==> 8	NOALI	0	-not aligned-	. 
51	5 6 7 <==> 0	NOALI	NIL	with glowing eyes	-not aligned- 
51	12 <==> 0	NOALI	0	.	-not aligned- 
51	9 10 11 <==> 5 6 7	SPE1	4	underneath a chair	on the floor 
51	1 2 3 4 <==> 1 2 3	SPE1	4	A small white cat	A white cat 
52	10 <==> 0	NOALI	0	.	-not aligned- 
52	6 7 8 <==> 6 7 8	EQUI	5	at a table	around a table 
52	0 <==> 9	NOALI	0	-not aligned-	. 
52	9 <==> 0	NOALI	0	outside	-not aligned- 
52	3 4 <==> 2 3 4	SPE2	4	of people	of elderly people 
52	1 2 <==> 1	EQUI	5	A group	Group 
52	5 <==> 5	REL	3	eat	sitting 
53	0 <==> 10	NOALI	NIL	-not aligned-	. 
53	3 <==> 4	EQUI	5	standing	stands 
53	1 2 <==> 1 2 3	SIMI	2	A bull	A brown horse 
53	4 5 6 <==> 5 6 7 8 9	SPE2	2	in the field	in a lush green field 
53	7 <==> 0	NOALI	NIL	.	-not aligned- 
54	4 5 <==> 0	NOALI	NIL	a ledge	-not aligned- 
54	0 <==> 10	NOALI	NIL	-not aligned-	. 
54	3 <==> 6	REL	4	jumping	playing 
54	6 7 8 <==> 0	NOALI	NIL	with a bike	-not aligned- 
54	0 <==> 7 8 9	NOALI	NIL	-not aligned-	with a blanket 
54	1 2 <==> 0	NOALI	NIL	A kid	-not aligned- 
54	9 <==> 0	NOALI	NIL	.	-not aligned- 
54	0 <==> 1 2 3 4 5	NOALI	NIL	-not aligned-	A black and white cat 
55	6 7 8 <==> 7 8 9 10	SPE2	2	at a table	around a dining table 
55	5 <==> 0	NOALI	NIL	eat	-not aligned- 
55	1 2 <==> 1 2	EQUI	5	A group	A group 
55	10 <==> 0	NOALI	NIL	.	-not aligned- 
55	0 <==> 11	NOALI	NIL	-not aligned-	. 
55	0 <==> 6	NOALI	NIL	-not aligned-	pose 
55	3 4 <==> 3 4 5	SPE2	4	of people	of elderly people 
55	9 <==> 0	NOALI	NIL	outside	-not aligned- 
56	7 8 9 <==> 0	NOALI	NIL	on the tracks	-not aligned- 
56	1 2 3 4 5 6 <==> 0	NOALI	NIL	A silver and blue Amtrak train	-not aligned- 
56	0 <==> 6 7 8 9	NOALI	NIL	-not aligned-	at the gas station 
56	10 11 12 13 14 <==> 0	NOALI	NIL	near a small train station	-not aligned- 
56	15 <==> 0	NOALI	NIL	.	-not aligned- 
56	0 <==> 10	NOALI	NIL	-not aligned-	. 
56	0 <==> 1 2 3 4	NOALI	NIL	-not aligned-	A small white car 
56	0 <==> 5	NOALI	NIL	-not aligned-	parked 
57	3 4 5 <==> 4 5	SIMI	4	are looking at	looking out 
57	1 2 <==> 1 2 3	SIMI	2	Two cats	A white cat 
57	0 <==> 9	NOALI	NIL	-not aligned-	. 
57	6 7 <==> 6 7 8	EQUI	5	a window	of a window 
57	8 <==> 0	NOALI	NIL	.	-not aligned- 
58	0 <==> 12	NOALI	NIL	-not aligned-	. 
58	1 2 3 <==> 0	NOALI	NIL	A pitched tent	-not aligned- 
58	7 8 9 <==> 9 10 11	EQUI	5	in the background	in the background 
58	10 <==> 0	NOALI	NIL	.	-not aligned- 
58	0 <==> 1 2 3 4 5	NOALI	NIL	-not aligned-	A black and white lamb 
58	4 5 6 <==> 6 7 8	SIMI	2	with a horse	with other lambs 
59	7 <==> 6 7	EQUI	5	perched	is perched 
59	1 2 3 4 5 6 <==> 1 2 3 4 5	SIMI	3	A small red and gray bird	A red and brown bird 
59	12 13 14 <==> 0	ALIC	NIL	of a tree	-not aligned- 
59	8 9 10 11 <==> 8 9	SPE1	3	amongst the bare branches	on branches 
59	15 <==> 0	NOALI	NIL	.	-not aligned- 
59	0 <==> 10	NOALI	NIL	-not aligned-	. 
60	1 2 3 <==> 0	NOALI	NIL	A school bus	-not aligned- 
60	11 <==> 0	NOALI	NIL	.	-not aligned- 
60	0 <==> 1 2 3	NOALI	NIL	-not aligned-	A race care 
60	0 <==> 9	NOALI	NIL	-not aligned-	. 
60	7 8 9 10 <==> 5 6 7 8	SIMI	2	on a rural road	along a dirt road 
60	4 5 <==> 4	EQUI	5	is driving	driving 
60	6 <==> 0	NOALI	NIL	uphill	-not aligned- 
61	5 6 7 <==> 0	NOALI	NIL	in a room	-not aligned- 
61	4 <==> 0	NOALI	NIL	standing	-not aligned- 
61	1 2 3 <==> 1 2 3	SIMI	2	Three young women	Two Indian women 
61	9 <==> 0	NOALI	NIL	.	-not aligned- 
61	0 <==> 4 5 6 7	ALIC	NIL	-not aligned-	with two Indian girls 
61	0 <==> 8 9 10	NOALI	NIL	-not aligned-	near the water 
61	0 <==> 11	NOALI	NIL	-not aligned-	. 
61	8 <==> 0	NOALI	NIL	together	-not aligned- 
62	5 6 7 <==> 6 7 8	EQUI	5	in a field	in a field 
62	0 <==> 9	NOALI	NIL	-not aligned-	. 
62	8 <==> 0	NOALI	NIL	.	-not aligned- 
62	3 4 <==> 3 4	SIMI	2	of sheep	of horses 
62	1 2 <==> 1 2	EQUI	5	A group	A group 
62	0 <==> 5	NOALI	NIL	-not aligned-	grazing 
63	0 <==> 8	NOALI	NIL	-not aligned-	. 
63	8 <==> 0	NOALI	NIL	.	-not aligned- 
63	4 5 6 7 <==> 5 6 7	SPE1	4	in a green pasture	in the pasture 
63	1 2 3 <==> 1 2 3	SIMI	1	Two white cows	The tan horse 
63	0 <==> 4	NOALI	NIL	-not aligned-	is 
64	4 5 6 <==> 4 5 6	EQUI	5	at a table	at a table 
64	1 2 <==> 1 2	SIMI	4	Two people	four people 
64	0 <==> 7	NOALI	NIL	-not aligned-	. 
64	10 <==> 0	NOALI	NIL	.	-not aligned- 
64	3 <==> 3	EQUI	5	sitting	sitting 
64	7 8 9 <==> 0	NOALI	NIL	at a restaurant	-not aligned- 
65	3 <==> 0	NOALI	NIL	laying	-not aligned- 
65	1 2 <==> 1 2 3 4 5	SPE2	2	A women	A man and two women 
65	0 <==> 10	NOALI	NIL	-not aligned-	while 
65	4 5 6 <==> 0	ALIC	NIL	across two men	-not aligned- 
65	0 <==> 7 8 9	NOALI	NIL	-not aligned-	at the camera 
65	0 <==> 6	NOALI	NIL	-not aligned-	smiling 
65	7 <==> 11	EQUI	5	sitting	sitting 
65	11 <==> 0	NOALI	NIL	.	-not aligned- 
65	8 9 10 <==> 12 13 14 15	SIMI	4	on a sofa	on a blue sofa 
65	0 <==> 16	NOALI	NIL	-not aligned-	. 
66	1 2 3 4 <==> 1 2 3 4 5	EQUI	5	Black and white cat	The black and white cat 
66	8 <==> 0	NOALI	NIL	.	-not aligned- 
66	0 <==> 13	NOALI	NIL	-not aligned-	. 
66	5 <==> 9	SIMI	3	lying	lounges 
66	0 <==> 6 7 8	NOALI	NIL	-not aligned-	with yellow eyes 
66	6 7 <==> 10 11 12	REL	1	under bush	in the dirt 
67	0 <==> 3 4 5 6 7 8	NOALI	NIL	-not aligned-	with glasses and two plastic bottles 
67	0 <==> 12	NOALI	NIL	-not aligned-	. 
67	1 2 3 <==> 0	NOALI	NIL	A tan calf	-not aligned- 
67	4 5 6 7 <==> 0	NOALI	NIL	with a yellow tag	-not aligned- 
67	13 14 15 <==> 0	NOALI	NIL	at the camera	-not aligned- 
67	8 9 10 11 <==> 0	NOALI	NIL	on his left ear	-not aligned- 
67	0 <==> 1 2	NOALI	NIL	-not aligned-	A man 
67	0 <==> 9 10 11	NOALI	NIL	-not aligned-	in the foreground 
67	12 <==> 0	NOALI	NIL	looking	-not aligned- 
67	16 <==> 0	NOALI	NIL	.	-not aligned- 
68	8 <==> 0	NOALI	NIL	.	-not aligned- 
68	0 <==> 7	NOALI	NIL	-not aligned-	. 
68	5 6 7 <==> 4 5 6	EQUI	5	at the camera	at the camera 
68	3 4 <==> 3	EQUI	5	is looking	looking 
68	1 2 <==> 1 2	SIMI	2	The lamb	A cat 
69	1 2 3 4 5 <==> 1 2 3 4 5	EQUI	5	A black and white photo	A black and white photo 
69	0 <==> 6 7 8	NOALI	NIL	-not aligned-	of a motorcycle 
69	11 <==> 0	NOALI	NIL	.	-not aligned- 
69	0 <==> 9	NOALI	NIL	-not aligned-	laying 
69	0 <==> 10 11 12	NOALI	NIL	-not aligned-	on the ground 
69	6 7 8 9 10 <==> 0	NOALI	NIL	of an old train station	-not aligned- 
69	0 <==> 13	NOALI	NIL	-not aligned-	. 
70	7 8 <==> 0	NOALI	NIL	high up	-not aligned- 
70	1 2 3 4 5 <==> 1 2 3 4	SIMI	2	A black and white cat	Black and white lamb 
70	0 <==> 10	NOALI	NIL	-not aligned-	. 
70	6 <==> 0	NOALI	NIL	is	-not aligned- 
70	12 <==> 0	NOALI	NIL	.	-not aligned- 
70	0 <==> 7 8 9	NOALI	NIL	-not aligned-	in right ear 
70	0 <==> 5 6	NOALI	NIL	-not aligned-	with tag 
70	9 10 11 <==> 0	NOALI	NIL	on tree branches	-not aligned- 
71	6 7 8 <==> 0	NOALI	NIL	on the sofa	-not aligned- 
